                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4186,                 3.0265,                 2.0553,                 1.5946,                0.14027,                0.19853,                0.08923,                0.04307,                0.14453,                0.22353,                0.09526,                0.04066,                 2.1353,                 3.3906,                 3.0814,                 2.1583,             0.00066541,             0.00066541,             0.00066541
                      2,                 1.5371,                 3.1416,                 2.0196,                 1.6944,                0.29501,                0.23939,                0.18885,                 0.0907,                0.35061,                0.21324,                0.18997,                0.09217,                 1.7963,                 3.1447,                 2.5365,                 1.8977,              0.0012002,              0.0012002,              0.0012002
                      3,                 1.4716,                 3.0088,                  1.944,                 1.6561,                0.33636,                0.36618,                0.28633,                0.15215,                0.38673,                0.33235,                0.28965,                0.15627,                 1.5727,                 2.8462,                 2.1695,                 1.6858,               0.001603,               0.001603,               0.001603
                      4,                 1.3829,                 2.8833,                 1.8051,                  1.577,                0.35084,                0.34706,                0.30394,                0.15869,                0.38713,                0.30655,                 0.2885,                0.16539,                 1.5797,                 2.7647,                 2.0379,                 1.7104,               0.001406,               0.001406,               0.001406
                      5,                 1.3316,                 2.8267,                 1.7603,                 1.5368,                0.37186,                0.36652,                0.32502,                0.18173,                0.40411,                0.37099,                0.32729,                0.18007,                 1.5014,                 2.6877,                 1.9913,                 1.6441,               0.001406,               0.001406,               0.001406
                      6,                 1.2402,                 2.6768,                 1.6686,                 1.4699,                0.40079,                0.43235,                0.38198,                0.22516,                 0.4041,                0.41618,                0.37326,                0.21853,                 1.4024,                 2.5867,                  1.876,                 1.5643,               0.001208,               0.001208,               0.001208
                      7,                 1.1682,                  2.596,                 1.5803,                 1.4248,                0.49869,                0.43382,                0.42602,                0.25799,                0.52947,                0.42059,                0.41356,                0.24902,                 1.3692,                 2.4695,                 1.7586,                 1.5415,                0.00101,                0.00101,                0.00101
                      8,                 1.1234,                  2.489,                 1.5092,                 1.4023,                 0.4814,                0.47941,                0.42396,                0.25135,                0.47197,                0.47353,                0.41666,                0.24668,                 1.3793,                 2.4338,                 1.7722,                 1.5442,               0.000812,               0.000812,               0.000812
                      9,                 1.0574,                 2.3949,                 1.4444,                 1.3537,                0.54633,                0.47059,                0.47679,                0.29951,                0.51528,                0.47055,                0.45497,                0.28214,                 1.2391,                 2.3856,                 1.5883,                 1.4613,               0.000614,               0.000614,               0.000614
                     10,                 1.0168,                 2.3224,                 1.3826,                 1.3361,                0.57519,                0.47987,                0.51076,                0.32689,                0.55365,                0.46324,                0.48165,                0.30272,                  1.187,                 2.2989,                 1.5467,                 1.4219,               0.000416,               0.000416,               0.000416
